,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
82,Ibrahim Zadran,C Karunaratne,Rahmanullah Gurbaz,6,0,6,117,66,28,27,1,1,14,-,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
83,Ibrahim Zadran,C Karunaratne,Rahmanullah Gurbaz,1,0,1,118,65,29,28,1,2,14,-,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
84,Rahmanullah Gurbaz,C Karunaratne,Ibrahim Zadran,1,0,1,119,64,73,41,1,3,14,-,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
85,Ibrahim Zadran,C Karunaratne,Rahmanullah Gurbaz,1,0,1,120,63,30,29,1,4,14,-,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
86,Rahmanullah Gurbaz,C Karunaratne,Ibrahim Zadran,0,5,5,125,58,73,42,1,5,14,wides,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
87,Rahmanullah Gurbaz,C Karunaratne,Ibrahim Zadran,6,0,6,131,52,79,43,1,6,14,-,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
88,Rahmanullah Gurbaz,C Karunaratne,Ibrahim Zadran,1,0,1,132,51,80,44,1,7,14,-,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
89,Rahmanullah Gurbaz,PWH de Silva,Ibrahim Zadran,1,0,1,133,50,81,45,1,1,15,-,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
90,Ibrahim Zadran,PWH de Silva,Rahmanullah Gurbaz,1,0,1,134,49,31,30,1,2,15,-,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
91,Rahmanullah Gurbaz,PWH de Silva,Ibrahim Zadran,0,0,0,134,49,81,46,1,3,15,-,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
92,Rahmanullah Gurbaz,PWH de Silva,Ibrahim Zadran,1,0,1,135,48,82,47,1,4,15,-,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
