,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,extra_type,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
71,DJ Mitchell,D Madushanka,MS Chapman,4,0,4,110,86,50,34,3,6,0,,,12,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
72,DJ Mitchell,D Madushanka,MS Chapman,6,0,6,116,80,56,35,3,7,0,,,12,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
73,MS Chapman,M Theekshana,DJ Mitchell,0,0,0,116,80,30,17,3,1,0,,,13,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
74,MS Chapman,M Theekshana,DJ Mitchell,0,4,4,120,76,30,18,3,2,0,,,13,byes,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
75,MS Chapman,M Theekshana,DJ Mitchell,1,0,1,121,75,31,19,3,3,0,,,13,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
76,DJ Mitchell,M Theekshana,MS Chapman,1,0,1,122,74,57,36,3,4,0,,,13,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
77,MS Chapman,M Theekshana,DJ Mitchell,0,1,1,123,73,31,20,3,5,0,,,13,byes,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
78,DJ Mitchell,M Theekshana,MS Chapman,1,0,1,124,72,58,37,3,6,0,,,13,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
79,DJ Mitchell,PM Liyanagamage,MS Chapman,4,0,4,128,68,62,38,3,1,0,,,14,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
80,DJ Mitchell,PM Liyanagamage,MS Chapman,1,0,1,129,67,63,39,3,2,0,,,14,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
81,MS Chapman,PM Liyanagamage,DJ Mitchell,1,0,1,130,66,32,21,3,3,0,,,14,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
82,DJ Mitchell,PM Liyanagamage,MS Chapman,0,0,0,130,66,63,40,3,4,0,,,14,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
83,DJ Mitchell,PM Liyanagamage,MS Chapman,1,0,1,131,65,64,41,3,5,0,,,14,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
84,MS Chapman,PM Liyanagamage,DJ Mitchell,1,0,1,132,64,33,22,3,6,0,,,14,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
85,MS Chapman,PWH de Silva,DJ Mitchell,0,0,0,132,64,33,23,4,1,caught,MS Chapman,DM de Silva,15,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
86,JDS Neesham,PWH de Silva,DJ Mitchell,0,0,0,132,64,0,1,4,2,0,,,15,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
87,JDS Neesham,PWH de Silva,DJ Mitchell,1,0,1,133,63,1,2,4,3,0,,,15,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
88,DJ Mitchell,PWH de Silva,JDS Neesham,1,0,1,134,62,65,42,4,4,0,,,15,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
89,JDS Neesham,PWH de Silva,DJ Mitchell,4,0,4,138,58,5,3,4,5,0,,,15,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
90,JDS Neesham,PWH de Silva,DJ Mitchell,0,0,0,138,58,5,4,4,6,0,,,15,-,"{'by': 'Sri Lanka', 'umpire': 'CM Brown', 'batter': 'JDS Neesham', 'decision': 'struck down', 'type': 'wicket'}",field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
91,DJ Mitchell,MD Shanaka,JDS Neesham,1,0,1,139,57,66,43,4,1,0,,,16,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
92,JDS Neesham,MD Shanaka,DJ Mitchell,4,0,4,143,53,9,5,4,2,0,,,16,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
93,JDS Neesham,MD Shanaka,DJ Mitchell,1,0,1,144,52,10,6,4,3,0,,,16,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
94,DJ Mitchell,MD Shanaka,JDS Neesham,0,0,0,144,52,66,44,5,4,caught,DJ Mitchell,DM de Silva,16,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
95,R Ravindra,MD Shanaka,JDS Neesham,1,0,1,145,51,1,1,5,5,0,,,16,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
96,JDS Neesham,MD Shanaka,R Ravindra,2,0,2,147,49,12,7,5,6,0,,,16,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
97,R Ravindra,PWH de Silva,JDS Neesham,1,0,1,148,48,2,2,5,1,0,,,17,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
98,JDS Neesham,PWH de Silva,R Ravindra,6,0,6,154,42,18,8,5,2,0,,,17,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
99,JDS Neesham,PWH de Silva,R Ravindra,1,0,1,155,41,19,9,5,3,0,,,17,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
100,R Ravindra,PWH de Silva,JDS Neesham,0,0,0,155,41,2,3,5,4,0,,,17,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
101,R Ravindra,PWH de Silva,JDS Neesham,1,0,1,156,40,3,4,5,5,0,,,17,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
102,JDS Neesham,PWH de Silva,R Ravindra,0,0,0,156,40,19,10,6,6,caught,JDS Neesham,PM Liyanagamage,17,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
103,R Ravindra,C Karunaratne,AF Milne,1,0,1,157,39,4,5,6,1,0,,,18,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
104,AF Milne,C Karunaratne,R Ravindra,1,0,1,158,38,1,1,6,2,0,,,18,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
105,R Ravindra,C Karunaratne,AF Milne,0,0,0,158,38,4,6,6,3,0,,,18,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
106,R Ravindra,C Karunaratne,AF Milne,6,0,6,164,32,10,7,6,4,0,,,18,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
